genre,score,pub_date,name,title,year
Experimental,7.1,2006-07-27 06:00:04,Avarus,Vesikansi,2006
Rock,7.1,2006-07-27 06:00:04,Avarus,Vesikansi,2006
Rock,7.5,2017-01-27 06:00:00,Pinegrove,Elsewhere,2017
Rock,7.5,2018-09-29 05:00:00,Pinegrove,Skylight,2018
Rock,8.0,2016-02-10 06:00:01,Pinegrove,Cardinal,2016
Rock,6.6,2020-01-22 06:00:00,Pinegrove,Marigold,2020
Electronic,8.5,1999-10-26 05:00:03,Le Tigre,Le Tigre,1999
Rock,8.5,1999-10-26 05:00:03,Le Tigre,Le Tigre,1999
Electronic,4.3,2002-06-05 05:00:02,Le Tigre,Remix,2002
Rock,4.3,2002-06-05 05:00:02,Le Tigre,Remix,2002
Electronic,5.0,2001-01-23 06:00:00,Le Tigre,From the Desk of Mr. Lady EP,2001
Rock,5.0,2001-01-23 06:00:00,Le Tigre,From the Desk of Mr. Lady EP,2001
Electronic,3.3,2004-10-20 06:00:01,Le Tigre,This Island,2004
Rock,3.3,2004-10-20 06:00:01,Le Tigre,This Island,2004
Electronic,6.6,2001-11-05 06:00:02,Le Tigre,Feminist Sweepstakes,2001
Rock,6.6,2001-11-05 06:00:02,Le Tigre,Feminist Sweepstakes,2001
Rock,7.2,2016-06-09 05:00:00,Paul Simon,Stranger to Stranger,2016
Rock,5.1,2006-05-10 06:00:11,Paul Simon,Surprise,2006
Rock,6.7,2011-04-15 06:00:01,Paul Simon,So Beautiful or So What,2011
Folk_and_Country,7.4,2008-07-23 06:00:05,Alina Simone,"Everyone Is Crying Out to Me, Beware",2008
Folk_and_Country,7.2,2011-06-06 06:00:02,Alina Simone,Make Your Own Danger,2011
Folk_and_Country,5.4,2007-11-27 06:00:05,Alina Simone,Placelessness,2007
Folk_and_Country,7.2,2005-04-11 05:00:02,Alina Simone,Prettier in the Dark EP,2005
Experimental,7.9,2017-03-30 05:00:00,Pharmakon,Contact,2017
Experimental,8.4,2014-10-15 06:00:00,Pharmakon,Bestial Burden,2014
Experimental,8.0,2013-05-16 06:00:02,Pharmakon,Abandon,2013
Experimental,7.9,2019-09-14 05:00:00,Pharmakon,Devour,2019
Electronic,6.5,2003-02-26 06:00:00,Kaada,Thank You for Giving Me Your Valuable Time,2003
Experimental,6.5,2003-02-26 06:00:00,Kaada,Thank You for Giving Me Your Valuable Time,2003
Rap,6.5,2003-02-26 06:00:00,Kaada,Thank You for Giving Me Your Valuable Time,2003
Rock,6.2,2017-07-22 05:00:00,Lo Tom,Lo Tom,2017
Electronic,7.5,2008-11-21 06:00:03,Grace Jones,Hurricane,2008
Rock,7.5,2008-11-21 06:00:03,Grace Jones,Hurricane,2008
Rock,8.6,2000-11-21 06:00:02,Blur,The Best of Blur,2000
Rock,8.5,2012-08-20 06:00:00,Blur,Parklive,2012
Rock,7.0,2015-04-28 06:00:00,Blur,The Magic Whip,2015
Rock,9.0,2003-05-05 05:00:01,Blur,Think Tank,2003
Rock,9.1,1999-03-23 06:00:08,Blur,13,1999
Rock,6.9,2014-03-06 06:00:01,Nothing,Guilty of Everything,2014
Rock,7.0,2020-12-02 06:00:00,Nothing,The Great Dismal,2020
Rock,7.1,2018-08-29 05:00:00,Nothing,Dance on the Blacktop,2018
Rock,8.0,2016-05-18 05:00:00,Nothing,Tired of Tomorrow,2016
Rap,6.6,2009-11-10 06:00:00,Wale,Attention Deficit,2009
Rap,5.1,2013-06-27 06:00:00,Wale,The Gifted,2013
Rap,7.4,2009-07-08 06:00:00,Wale,Back to the Feature,2009
Rap,6.7,2011-11-04 06:00:01,Wale,Ambition,2011
Rap,8.4,2008-07-29 05:00:02,Wale,The Mixtape About Nothing,2008
Rap,5.4,2015-04-02 06:00:02,Wale,The Album About Nothing,2015
Rap,6.9,2013-01-18 06:00:02,Wale,Folarin,2013
Rap,6.5,2010-08-18 06:00:01,Wale,More About Nothing,2010
Rap,6.0,2017-05-20 05:00:00,Wale,Shine,2017
Experimental,6.8,2018-11-30 06:00:00,Wolfgang Tillmans,Spoken By the Other EP,2018
Electronic,6.8,2018-11-30 06:00:00,Wolfgang Tillmans,Spoken By the Other EP,2018
Experimental,6.8,2018-11-30 06:00:00,Powell,Spoken By the Other EP,2018
Electronic,6.8,2018-11-30 06:00:00,Powell,Spoken By the Other EP,2018
Experimental,6.9,2016-07-19 05:00:00,Wolfgang Tillmans,2016 / 1986,2016
Electronic,8.1,2016-10-19 05:00:00,Powell,Sport,2016
Metal,7.9,2006-05-04 06:00:32,Jesu,Silver EP,2006
Rock,7.9,2006-05-04 06:00:32,Jesu,Silver EP,2006
Metal,7.6,2010-11-22 06:00:02,Jesu,Heart Ache & Dethroned,2010
Rock,7.6,2010-11-22 06:00:02,Jesu,Heart Ache & Dethroned,2010
Metal,7.0,2009-10-30 06:00:03,Jesu,Opiate Sun,2009
Rock,7.0,2009-10-30 06:00:03,Jesu,Opiate Sun,2009
Metal,7.5,2016-02-19 06:00:00,Jesu,Jesu/Sun Kil Moon,2016
Rock,7.5,2016-02-19 06:00:00,Jesu,Jesu/Sun Kil Moon,2016
Folk_and_Country,7.5,2016-02-19 06:00:00,Jesu,Jesu/Sun Kil Moon,2016
Metal,7.5,2016-02-19 06:00:00,Sun Kil Moon,Jesu/Sun Kil Moon,2016
Rock,7.5,2016-02-19 06:00:00,Sun Kil Moon,Jesu/Sun Kil Moon,2016
Folk_and_Country,7.5,2016-02-19 06:00:00,Sun Kil Moon,Jesu/Sun Kil Moon,2016
Metal,5.6,2008-08-22 06:00:02,Jesu,Why Are We Not Perfect? EP,2008
Rock,5.6,2008-08-22 06:00:02,Jesu,Why Are We Not Perfect? EP,2008
Metal,7.0,2011-05-06 06:00:01,Jesu,Ascension,2011
Rock,7.0,2011-05-06 06:00:01,Jesu,Ascension,2011
Metal,7.9,2005-02-22 06:00:01,Jesu,Jesu,2005
Rock,7.9,2005-02-22 06:00:01,Jesu,Jesu,2005
Metal,7.3,2007-10-11 06:00:02,Jesu,Lifeline,2007
Rock,7.3,2007-10-11 06:00:02,Jesu,Lifeline,2007
Metal,7.8,2007-02-12 06:00:01,Jesu,Conqueror,2007
Rock,7.8,2007-02-12 06:00:01,Jesu,Conqueror,2007
Metal,6.8,2013-09-26 06:00:01,Jesu,Everyday I Get Closer to the Light From Which I Came,2013
Rock,6.8,2013-09-26 06:00:01,Jesu,Everyday I Get Closer to the Light From Which I Came,2013
Pop_and_RnB,7.7,2017-12-06 06:00:00,Nabihah Iqbal,Weighing of the Heart,2017
Rock,7.7,2017-12-06 06:00:00,Nabihah Iqbal,Weighing of the Heart,2017
Rap,8.6,2016-03-08 06:00:00,Kendrick Lamar,untitled unmastered.,2016
Rap,8.0,2011-07-21 06:00:00,Kendrick Lamar,Section.80,2011
Rap,9.3,2015-03-19 06:00:00,Kendrick Lamar,To Pimp a Butterfly,2015
Rap,9.2,2017-04-18 05:00:00,Kendrick Lamar,DAMN.,2017
Rap,9.5,2012-10-23 06:00:00,Kendrick Lamar,"good kid, m.A.A.d city",2012
Experimental,6.7,2017-02-14 06:00:00,Fire-Toolz,Drip Mental,2017
Experimental,7.5,2020-05-08 05:00:00,Fire-Toolz,Rainbow Bridge,2020
Experimental,7.6,2021-10-20 04:00:00,Fire-Toolz,Eternal Home,2021
Experimental,8.0,2019-08-30 05:00:00,Fire-Toolz,Field Whispers (Into the Crystal Palace),2019
Experimental,7.1,2018-08-27 05:00:00,Fire-Toolz,Skinless X-1,2018
Jazz,7.7,2013-06-06 06:00:04,Chris Corsano,The Raw and the Cooked,2013
Experimental,7.7,2013-06-06 06:00:04,Chris Corsano,The Raw and the Cooked,2013
Jazz,7.7,2013-06-06 06:00:04,Bill Orcutt,The Raw and the Cooked,2013
Experimental,7.7,2013-06-06 06:00:04,Bill Orcutt,The Raw and the Cooked,2013
Jazz,8.0,2018-12-06 06:00:00,Chris Corsano,Brace Up!,2018
Experimental,8.0,2018-12-06 06:00:00,Chris Corsano,Brace Up!,2018
Jazz,8.0,2018-12-06 06:00:00,Bill Orcutt,Brace Up!,2018
Experimental,8.0,2018-12-06 06:00:00,Bill Orcutt,Brace Up!,2018
Jazz,8.1,2021-04-01 04:00:00,Chris Corsano,Made Out of Sound,2021
Experimental,8.1,2021-04-01 04:00:00,Chris Corsano,Made Out of Sound,2021
Jazz,8.1,2021-04-01 04:00:00,Bill Orcutt,Made Out of Sound,2021
Experimental,8.1,2021-04-01 04:00:00,Bill Orcutt,Made Out of Sound,2021
Experimental,7.6,2017-07-01 05:00:00,Bill Orcutt,Bill Orcutt,2017
Experimental,7.8,2019-10-11 05:00:00,Bill Orcutt,Odds Against Tomorrow,2019
Experimental,8.0,2011-09-30 06:00:04,Bill Orcutt,How the Thing Sings,2011
Experimental,7.8,2013-10-14 06:00:04,Bill Orcutt,A History of Every One,2013
