year,score
1999,6.781021897810216
2000,6.868085106382989
2001,7.15538160469667
2002,6.801954732510295
2003,6.9181444991789816
2004,7.147936507936509
2005,6.9851361867704345
2006,6.92632794457275
2007,6.773829623944728
2008,6.839588100686487
2009,6.6636292834890964
2010,6.860576923076923
2011,6.918256333830118
2012,6.882081911262794
2013,6.96469500924214
2014,6.97726787620064
2015,7.041952983725135
2016,7.09102667744543
2017,7.128027095681633
2018,7.10130932896891
2019,7.150337268128171
2020,7.201757322175738
2021,7.224147217235203
